STATE,COUNTY,NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
Alabama,Autauga,85,55,6,6,0,0.62311333,30,2,12043,299
Alabama,Baldwin,386,362,51,51,0,2.24881151,24,8,18874,485
Alabama,Barbour,74,30,5,5,0,0.37872148,44,2,8301,56
Alabama,Bibb,35,25,4,4,0,0.43090412,10,1,4623,47
Alabama,Blount,25,25,6,6,0,0.4990685,0,2,4422,38
Alabama,Bullock,61,30,5,5,0,0.21287671,31,1,8678,238
Alabama,Butler,72,44,7,7,0,0.18711084,28,2,19950,800
Alabama,Calhoun,486,435,30,30,0,1.29468989,51,15,10432,211
Alabama,Chambers,115,84,15,15,0,0.39872646,31,0,26527,1652
Alabama,Cherokee,60,45,8,8,0,0.24253164,15,1,2228,128
Alabama,Chilton,30,26,6,6,0,0.28545839,4,2,6538,87
Alabama,Choctaw,25,25,4,4,0,0.22071233,0,0,7346,337
Alabama,Clarke,85,56,10,10,0,0.57956946,29,2,7144,129
Alabama,Clay,45,46,4,4,0,0.28064325,-1,2,1934,103
Alabama,Cleburne,,,,,,,,,1202,66
Alabama,Coffee,131,99,7,7,0,0.27961808,32,2,13094,46
Alabama,Colbert,383,300,22,22,0,0.5115703,83,6,9104,191
Alabama,Conecuh,58,44,8,8,0,0.29383561,14,0,2759,34
Alabama,Coosa,,,,,,,,,2605,72
Alabama,Covington,187,128,13,13,0,0.64001981,59,4,5667,65
Alabama,Crenshaw,93,57,5,5,0,0.12602739,36,2,4020,107
Alabama,Cullman,185,185,12,12,0,0.98050067,0,5,8965,42
Alabama,Dale,89,77,6,6,0,0.26493508,12,2,6108,0
Alabama,Dallas,175,109,23,23,0,0.40459973,66,2,15440,243
Alabama,DeKalb,134,97,12,12,0,0.29221863,37,3,13986,203
Alabama,Elmore,138,70,11,11,0,0.59194013,68,3,19658,407
Alabama,Escambia,142,95,14,14,0,0.69145388,47,4,4028,183
Alabama,Etowah,739,590,85,85,0,2.25649029,149,14,16101,778
Alabama,Fayette,61,45,8,8,0,0.23372906,16,2,1236,6
Alabama,Franklin,125,74,11,11,0,0.62173665,51,3,26353,332
Alabama,Geneva,83,73,6,6,0,0.13143179,10,2,1872,0
