NUM_LICENSED_BEDS,NUM_STAFFED_BEDS,NUM_ICU_BEDS,ADULT_ICU_BEDS,PEDI_ICU_BEDS,BED_UTILIZATION,Potential_Increase_In_Bed_Capac,AVG_VENTILATOR_USAGE,cases,deaths
85,55,6,6,0,0.62311333,30,2,12043,299
386,362,51,51,0,2.24881151,24,8,18874,485
74,30,5,5,0,0.37872148,44,2,8301,56
35,25,4,4,0,0.43090412,10,1,4623,47
25,25,6,6,0,0.4990685,0,2,4422,38
61,30,5,5,0,0.21287671,31,1,8678,238
72,44,7,7,0,0.18711084,28,2,19950,800
486,435,30,30,0,1.29468989,51,15,10432,211
115,84,15,15,0,0.39872646,31,0,26527,1652
60,45,8,8,0,0.24253164,15,1,2228,128
30,26,6,6,0,0.28545839,4,2,6538,87
25,25,4,4,0,0.22071233,0,0,7346,337
85,56,10,10,0,0.57956946,29,2,7144,129
45,46,4,4,0,0.28064325,-1,2,1934,103
,,,,,,,,1202,66
131,99,7,7,0,0.27961808,32,2,13094,46
383,300,22,22,0,0.5115703,83,6,9104,191
58,44,8,8,0,0.29383561,14,0,2759,34
,,,,,,,,2605,72
187,128,13,13,0,0.64001981,59,4,5667,65
93,57,5,5,0,0.12602739,36,2,4020,107
185,185,12,12,0,0.98050067,0,5,8965,42
89,77,6,6,0,0.26493508,12,2,6108,0
175,109,23,23,0,0.40459973,66,2,15440,243
134,97,12,12,0,0.29221863,37,3,13986,203
138,70,11,11,0,0.59194013,68,3,19658,407
142,95,14,14,0,0.69145388,47,4,4028,183
739,590,85,85,0,2.25649029,149,14,16101,778
61,45,8,8,0,0.23372906,16,2,1236,6
125,74,11,11,0,0.62173665,51,3,26353,332
83,73,6,6,0,0.13143179,10,2,1872,0
20,20,4,4,0,0.24164383,0,0,5951,217
39,28,5,5,0,0.26086107,11,0,8797,419
,,,,,,,,4021,96
790,666,72,72,22,2.9727025,124,18,12637,296
170,92,10,10,0,0.62826902,78,2,5608,189
4768,3816,393,393,264,8.20493615,952,92,117335,5583
,,,,,,,,1628,3
263,233,36,36,0,0.55744457,30,6,9368,223
98,43,6,6,0,0.15132208,55,2,2691,0
314,299,20,20,0,0.68810189,15,10,38336,2140
102,97,18,18,0,0.97110433,5,6,7590,0
,,,,,,,,12963,562
143,143,0,0,0,0,0,0,4968,231
1241,1240,99,99,49,2.66017896,1,24,26417,341
99,37,5,5,0,0.36645687,62,2,8797,384
120,97,8,8,0,0.39378822,23,3,8043,656
150,150,20,20,0,0.43511954,0,7,42005,554
1930,1524,246,246,118,4.45541669,406,31,129499,6582
94,49,8,8,0,0.11646631,45,2,3288,119
1204,1018,86,86,65,3.20801986,186,20,92223,2237
273,222,23,23,0,0.49895102,51,3,17714,55
,,,,,,,,2372,0
,,,,,,,,6490,233
97,97,9,9,0,0.18395707,0,2,11394,38
15,15,3,3,0,0.22389211,0,1,7790,468
128,105,10,10,0,1.34441051,23,4,10329,0
286,246,32,32,0,1.18756151,40,6,34711,1205
40,40,6,6,0,0.58636987,0,2,8272,68
33,33,6,6,0,0.45330012,0,0,11057,386
290,225,14,14,0,0.46663904,65,4,7274,221
127,80,14,14,0,0.555457799,47,2,26315,3330
1099,900,57,57,51,3.04953975,199,33,43925,786
267,207,12,12,0,0.29285949,60,4,20059,142
25,15,3,3,0,0.43178082,10,1,4175,296
30,21,4,4,0,0.065753423,9,0,8769,348
49,49,4,4,0,0.29197651,0,2,4369,17
,,,,,,,,24,0
,,,,,,,,73,0
1152,973,109,109,76,3.02660119,179,21,18094,360
50,34,6,6,0,0.39991942,16,1,,
,,,,,,,,182,0
,,,,,,,,66,0
16,16,3,3,0,0.1484589,0,1,,
,,,,,,,,37,0
175,145,13,13,0,0.39546373,30,2,,
,,,,,,,,7209,155
,,,,,,,,26,0
73,45,9,9,0,0.36596653,28,2,,
,,,,,,,,2413,0
77,76,11,11,0,1.21807847,1,3,,
,,,,,,,,3620,49
25,25,4,4,0,0.38246575,0,2,,
,,,,,,,,1519,0
25,24,4,4,0,0.20011416,1,2,,
,,,,,,,,121,0
,,,,,,,,30,0
125,74,14,14,0,0.66927063,51,3,,
,,,,,,,,2104,71
18,18,3,3,0,0.40167427,0,1,,
,,,,,,,,169,0
10,14,3,3,0,0.17710371,-4,1,,
,,,,,,,,41,0
17,17,3,3,0,0.2406124,0,0,,
,,,,,,,,95,0
12,12,2,2,0,0.26826483,0,0,,
,,,,,,,,203,0
,,,,,,,,150,0
25,27,4,4,0,0.33860984,-2,1,,
,,,,,,,,218,0
,,,,,,,,212,0
,,,,,,,,100,0
24,24,4,4,0,0.44285851,0,1,,
,,,,,,,,309,0
8,8,1,1,0,0.2875683,0,0,,
,,,,,,,,37,0
,,,,,,,,87,0
162,162,29,29,0,1.03207734,0,5,77030,1878
160,135,22,22,0,1.047910359,25,6,6996,148
418,396,61,61,18,2.26611355,22,12,65814,4585
50,50,8,8,0,0.9526467,0,4,2478,94
176,57,10,10,0,0.62251885,119,2,1854,52
,,,,,,,,367,22
42,42,6,6,0,0.48016437,0,2,5595,138
11544,9796,1137,1137,335,32.2918227,1748,281,683742,23237
610,551,80,80,0,1.58553997,59,20,21441,2290
188,176,24,24,0,1.85010737,12,5,105323,3408
3727,3155,377,377,159,9.22695808,572,59,160678,10662
401,401,39,39,0,1.406980845,0,10,59280,1953
25,25,4,4,0,0.2758356,0,2,24006,184
,,,,,,,,0,107
385,302,43,43,0,2.61849999,83,12,16930,313
457,447,42,42,20,1.15870336,10,7,75841,1049
74,74,13,13,0,0.279664521,0,3,356,0
33,25,6,6,0,0.40383562,8,2,1684,12
268,170,17,17,0,0.51451904,98,4,626,0
342,311,34,34,8,1.53246076,31,7,36542,149
174,120,24,24,0,0.19586758,54,3,453,0
33,25,4,4,0,0.2269589,8,2,1360,71
40,40,8,8,0,0.47875799,0,4,1852,36
35,35,4,4,0,0.98460275,0,2,1453,21
25,25,4,4,0,0.43671232,0,2,3005,0
25,25,4,4,0,0.49654794,0,1,494,5
25,25,4,4,0,0.35978082,0,1,6462,342
,,,,,,,,1189,0
49,30,6,6,0,0.26273972,19,2,1287,104
25,25,4,4,0,0.3151781,0,2,1064,104
730,561,74,74,12,2.25568482,169,17,12811,51
103,35,8,8,0,0.28195488,68,2,1664,0
65,11,2,2,0,0.30316558,54,1,22204,525
25,15,3,3,0,0.56529683,10,2,2912,6
25,22,4,4,0,0.089414693,3,0,135,0
50,50,8,8,0,0.51408218,0,2,1302,0
49,49,5,5,0,0.40402573,0,2,1367,74
357,355,25,25,0,1.87074838,2,6,8267,194
25,25,4,4,0,0.1079452,0,1,259,0
25,25,4,4,0,0.41347945,0,2,312,0
562,423,48,48,0,2.536005056,139,16,10142,48
,,,,,,,,1266,0
129,114,8,8,0,0.28514779,15,3,2916,0
79,67,8,8,0,0.092496425,12,2,1157,75
72,64,6,6,0,0.39559075,8,2,2058,0
20,20,6,6,0,0.2920548,0,2,1638,1
235,170,12,12,0,0.47740531,65,4,1735,0
25,25,4,4,0,0.18476713,0,1,855,21
,,,,,,,,330,0
471,271,34,34,0,0.43204772,200,7,28057,1378
90,57,8,8,0,0.21523672,33,2,3517,0
,,,,,,,,619,58
25,25,4,4,0,0.30276242,0,2,4902,348
,,,,,,,,6832,70
,,,,,,,,58674,451
25,25,4,4,0,0.10871233,0,1,632,0
41,40,7,7,0,0.35142693,1,3,542,1
,,,,,,,,3742,0
,,,,,,,,2029,0
,,,,,,,,97,0
62,54,0,0,0,0.72064942,8,0,3385,69
124,124,9,9,0,0.46791863,0,3,3971,68
,,,,,,,,350,0
,,,,,,,,84,0
,,,,,,,,1475,11
,,,,,,,,215,0
98,87,8,8,0,0.14857502,11,2,713,0
,,,,,,,,784,0
155,127,6,6,0,0.095178515,28,2,1249,75
,,,,,,,,334,0
,,,,,,,,2199,121
65,41,6,6,0,0.25706649,24,2,1531,1
170,137,11,11,0,0.40777922,33,4,8638,52
,,,,,,,,272,0
4324,3565,220,220,168,8.58731609,759,63,58943,2026
50,32,2,2,0,0.17696886,18,1,1639,5
257,210,16,16,0,1.10040831,47,3,7348,93
24,24,4,4,0,0.13470319,0,1,136,0
,,,,,,,,551,0
1081,779,80,80,25,3.93943661,302,27,3834,33
,,,,,,,,10988,116
,,,,,,,,2039,114
118,56,6,6,0,0.28277886,62,2,29540,50
25,25,4,4,0,0.20767124,0,1,710,0
166,111,16,16,0,0.32552543,55,3,8499,361
,,,,,,,,14760,6
25,25,4,4,0,0.52065754,0,2,2396,160
1068,909,78,78,34,4.66121408,159,17,40370,411
465,272,17,17,0,0.92959159,193,10,3302,64
,,,,,,,,133,0
76,55,9,9,0,0.67622572,21,3,7585,70
3464,3570,331,331,151,9.94199573,-106,74,200615,6006
,,,,,,,,137,0
52,52,6,6,0,0.47054794,0,3,645,0
471,491,47,47,6,1.94507372,-20,19,2969,22
25,25,5,5,0,0.34421918,0,2,1213,0
42,42,0,0,0,0.16268754,0,0,357,0
1696,1636,172,172,97,4.45213613,60,44,96795,2504
49,39,6,6,0,0.51801896,10,3,1587,0
190,189,28,28,0,0.80652243,1,6,5643,0
1902,1767,418,418,104,4.66809801,135,50,100625,1817
47,15,3,3,0,1,32,1,1001,0
276,233,27,27,5,2.74951486,43,12,6375,113
268,268,28,28,0,0.83555427,0,9,112524,1539
29,29,5,5,0,0.48493152,0,2,1607,61
1560,1497,160,160,77,5.86525166,63,33,130877,1942
173,142,22,22,0,0.49605718,31,5,51176,256
62,50,8,8,0,1.31978082,12,5,1167,0
25,25,4,4,0,0.35638356,0,1,215,0
